ProfileM	Shape_Leng	ORIG_FID	POINT_X	POINT_Z	POINT_Y
3882.465	227.7089991	1	844985.56	1365412.64	286.31
3882.465	227.7089991	1	844986.51	1365412.56	286.19
3882.465	227.7089991	1	844987.47	1365412.49	286.12
3882.465	227.7089991	1	844988.43	1365412.42	286
3882.465	227.7089991	1	844989.78	1365412.32	285.87
3882.465	227.7089991	1	844990.74	1365412.25	285.78
3882.465	227.7089991	1	844991.69	1365412.17	285.7
3882.465	227.7089991	1	844992.65	1365412.1	285.62
3882.465	227.7089991	1	844993.61	1365412.03	285.55
3882.465	227.7089991	1	844994	1365412	285.53
3882.465	227.7089991	1	844994.56	1365411.98	285.49
3882.465	227.7089991	1	844995.52	1365411.94	285.41
3882.465	227.7089991	1	844996.48	1365411.91	285.36
3882.465	227.7089991	1	844997.44	1365411.88	285.31
3882.465	227.7089991	1	844998.39	1365411.84	285.21
3882.465	227.7089991	1	844999.35	1365411.81	285.2
3882.465	227.7089991	1	845000.31	1365411.77	285.68
3882.465	227.7089991	1	845001.27	1365411.74	285.68
3882.465	227.7089991	1	845002.23	1365411.7	285.48
3882.465	227.7089991	1	845003.18	1365411.67	285.48
3882.465	227.7089991	1	845004.14	1365411.63	285.5
3882.465	227.7089991	1	845005.1	1365411.6	285.52
3882.465	227.7089991	1	845006.06	1365411.56	285.53
3882.465	227.7089991	1	845007.02	1365411.53	285.31
3882.465	227.7089991	1	845007.97	1365411.49	285.36
3882.465	227.7089991	1	845010.28	1365411.41	285.45
3882.465	227.7089991	1	845011.24	1365411.37	285.49
3882.465	227.7089991	1	845012.2	1365411.34	285.53
3882.465	227.7089991	1	845013.16	1365411.3	285.58
3882.465	227.7089991	1	845014.11	1365411.27	285.7
3882.465	227.7089991	1	845015.07	1365411.23	285.74
3882.465	227.7089991	1	845016.03	1365411.2	285.78
3882.465	227.7089991	1	845016.99	1365411.16	285.74
3882.465	227.7089991	1	845017.95	1365411.13	285.79
3882.465	227.7089991	1	845018.9	1365411.09	285.84
3882.465	227.7089991	1	845019.86	1365411.06	285.94
